FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Palestine
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Panama
FAO Major Fishing Area: Pacific, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);86.67;86.67;Panama
FAO Major Fishing Area: Pacific, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.61;77.55;Papua New Guinea
FAO Major Fishing Area: Pacific, Southeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);85.71;83.87;Peru
FAO Major Fishing Area: Pacific, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.61;77.55;Philippines
FAO Major Fishing Area: Pacific, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.61;77.55;Pitcairn
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Poland
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Portugal
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Portugal
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Puerto Rico
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Qatar
FAO Major Fishing Area: Pacific, Northwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.69;65.38;"Republic of Korea
"
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Republic of the Congo
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Romania
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Russian Federation
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Russian Federation
FAO Major Fishing Area: Pacific, Northwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.69;65.38;Russian Federation
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Saint Barthélemy
FAO Major Fishing Area: Atlantic, Southeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);67.65;67.65;Saint Helena
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Saint Kitts and Nevis
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Saint Lucia
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Saint Vincent and the Grenadines
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Saint Martin
FAO Major Fishing Area: Pacific, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);86.67;86.67;Samoa
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Sao Tome and Principe
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Saudi Arabia
