"","X","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"2042",6,"Sudan",3.4041516,3.4048251,3.2867246,3.2244533,3.1895854,3.0673853,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"2043",7,"Sudan",46.79,42.07,36.61,36.63,30.32,10.59,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.218,"0.5% compare to 2007 in CO2-eq tonnes"
"2044",8,"Sudan",85,85,85,85,85,NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa",100,"%"
"2045",9,"Sudan",90,90,90,90,90,NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa",100,"%"
"2046",10,"Sudan",69.58958,69.52451,69.45961,69.414,69.36167,69.30676,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"2047",11,"Sudan",86.74,86.74,83.2,85.74,86.39,83.95,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"2048",12,"Sudan",22.55,22.41,22.73,21.89,21.43,21.43,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"2049",13,"Sudan",NA,NA,50,50,50,50,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa",100,"% Good status"
"2050",1,"Suriname",99.2048,99.13065,99.08316,99.00381,98.9238,98.84445,"Source","renewable ressources","state of forest reccources","America",100,"%"
"2051",2,"Suriname",60.34,60.34,61.4,61.4,61.4,61.4,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"2052",3,"Suriname",3.95,3.95,3.95,3.95,3.95,3.95,"Source","renewable ressources","Surfacewater Stress","America",25,"% of stress"
"2053",4,"Suriname",0.05555556,0.05555556,0.05555556,0.05555556,0.05555556,0.05555556,"Source","renewable ressources","Groundwater stress","America",25,"%"
"2054",5,"Suriname",0.2,0.2,0.2,0.2,0.2,0.2,"Source","non-renewables ressources","area with tolerable erosion","America",2,"Tonnes/hectare/year"
"2055",6,"Suriname",6.7702101,7.1720085,6.2488786,5.6310295,6.4010576,6.0883221,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"2056",7,"Suriname",1.4,0.99,1.15,0.75,0.58,0.28,"Sink","global System","Consumption of HCFC in ODP per capita","America",0.013,"0.5% compare to 2007 in CO2-eq tonnes"
"2057",8,"Suriname",99.26134,99.26047,99.25979,99.25891,99.23397,99.21119,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"2058",9,"Suriname",85.36,87.14,86.03,76.71,75.88,74.84,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"2059",10,"Suriname",12.96,12.9,13.3,12.75,12.17,12.17,"Human health and welfare","human health","Concentrations of PM2.5","America",5,"µg/m3"
"2060",11,"Suriname",54.66861,54.87885,55.09333,55.31203,55.53425,55.76043,"Human health and welfare","human health","Drinking water contamination","America",100,"% without E.coli"
"2061",12,"Suriname",50,50,50,50,50,50,"Human health and welfare","landscape and amenity","status of world heritage sites","America",100,"% Good status"
"2062",1,"Sweden",99.66872,99.66872,99.66872,99.66872,99.66872,99.66872,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"2063",2,"Sweden",73.47,73.47,79.31,79.31,79.31,79.31,"Source","renewable ressources","Proportion of fish stocks not overexploited","Europe",100,"% Sus fish stock"
"2064",3,"Sweden",3.43,3.46,3.49,3.52,3.55,3.58,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"2065",4,"Sweden",1.85,1.85,1.9,1.9,1.95,1.95,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"2066",5,"Sweden",0.2,0.2,0.2,0.2,0.2,0.2,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"2067",6,"Sweden",6.9802589,6.8697812,6.7521043,6.3887612,6.2860817,5.9166273,"Sink","global System","CO2 emissions [tonnes per capita]","Europe",2.88,"tonnes per year per capita"
"2068",7,"Sweden",-53.48,-37.31,-26.7,-40.28,-25,-28.45,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",5.437,"0.5% compare to 2007 in CO2-eq tonnes"
"2069",8,"Sweden",40.35,40.35,40.35,40.35,40.35,43.8,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe",100,"%"
"2070",9,"Sweden",97.7,97.7,97.7,97.7,97.7,97.6,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe",100,"%"
"2071",10,"Sweden",95.14353,95.20388,95.25222,95.27318,95.28667,95.25222,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"2072",11,"Sweden",74.13,73.51,72.12,71.16,70.67,71.07,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe",100,"%"
"2073",12,"Sweden",6.37,5.88,5.93,6.09,5.96,5.96,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"2074",13,"Sweden",99.71589,99.73518,99.75402,99.75113,99.75147,99.7518,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"2075",14,"Sweden",75,75,75,75,75,75,"Human health and welfare","landscape and amenity","status of world heritage sites","Europe",100,"% Good status"
"2076",1,"Switzerland",108.1313,108.4285,108.7256,109.0227,109.3198,109.617,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"2077",2,"Switzerland",6.51,6.5,6.5,6.5,6.5,6.5,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"2078",3,"Switzerland",34.4,34,34,34,34,34,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"2079",4,"Switzerland",5.66,5.66,5.66,5.66,5.66,5.66,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"2080",5,"Switzerland",0,0,0,0,0,0,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",0.0455,"0.5% compare to 2007 in CO2-eq tonnes"
"2081",6,"Switzerland",100,100,100,100,100,68.2,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe",100,"%"
"2082",7,"Switzerland",64.27169,64.10882,63.94687,63.77595,63.604,63.53323,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"2083",8,"Switzerland",10.82,9.99,9.89,10.01,8.97,8.97,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"2084",9,"Switzerland",98.2,98.2,98.2,98.2,98.2,98.2,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"2085",10,"Switzerland",75,75,66.66667,66.66667,66.66667,66.66667,"Human health and welfare","landscape and amenity","status of world heritage sites","Europe",100,"% Good status"
"2086",1,"Syrian Arab Republic",138.0872,138.0872,138.0872,138.0872,138.0872,138.0872,"Source","renewable ressources","state of forest reccources","Asia",100,"%"
"2087",2,"Syrian Arab Republic",37.84,37.84,37.5,37.5,37.5,37.5,"Source","renewable ressources","Proportion of fish stocks not overexploited","Asia",100,"% Sus fish stock"
"2088",3,"Syrian Arab Republic",124.36,124.36,124.36,124.36,124.36,124.36,"Source","renewable ressources","Surfacewater Stress","Asia",25,"% of stress"
"2089",4,"Syrian Arab Republic",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia",25,"%"
"2090",5,"Syrian Arab Republic",2.94,2.94,2.94,2.94,2.94,2.94,"Source","non-renewables ressources","area with tolerable erosion","Asia",2,"Tonnes/hectare/year"
"2091",6,"Syrian Arab Republic",2.3268818,2.4240076,2.567946,2.3327148,2.1930532,2.020413,"Sink","global System","CO2 emissions [tonnes per capita]","Asia",2.88,"tonnes per year per capita"
"2092",7,"Syrian Arab Republic",46.74,56.93,98.41,70.3,71.05,82.03,"Sink","global System","Consumption of HCFC in ODP per capita","Asia",0.2265,"0.5% compare to 2007 in CO2-eq tonnes"
"2093",8,"Syrian Arab Republic",59.51411,59.42953,59.21868,59.2297,59.29424,59.20007,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia",100,"%"
"2094",9,"Syrian Arab Republic",58.03,54.21,51.69,53.95,51.58,51.01,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia",100,"%"
"2095",10,"Syrian Arab Republic",24.75,24.43,24.83,25.13,25.14,25.14,"Human health and welfare","human health","Concentrations of PM2.5","Asia",5,"µg/m3"
"2096",1,"Taiwan",82.69,82.69,65.38,65.38,65.38,65.38,"Source","renewable ressources","Proportion of fish stocks not overexploited","Asia",100,"% Sus fish stock"
"2097",2,"Taiwan",5.19,5.19,5.19,5.19,5.19,5.19,"Source","non-renewables ressources","area with tolerable erosion","Asia",2,"Tonnes/hectare/year"
"2098",3,"Taiwan",NA,NA,NA,NA,NA,NA,"Sink","global System","CO2 emissions [tonnes per capita]","Asia",2.88,"tonnes per year per capita"
"2099",4,"Taiwan",78.05,76.05,75.84,75.99,75.95,75.11,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia",100,"%"
"2100",1,"Tajikistan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia",100,"%"
"2101",2,"Tajikistan",68.74,57.72,52.7,64.48,69.94,69.94,"Source","renewable ressources","Surfacewater Stress","Asia",25,"% of stress"
"2102",3,"Tajikistan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia",25,"%"
"2103",4,"Tajikistan",17.89,17.89,17.89,17.89,17.89,17.89,"Source","non-renewables ressources","area with tolerable erosion","Asia",2,"Tonnes/hectare/year"
"2104",5,"Tajikistan",1.8043685,1.9750033,2.0927879,2.2002815,2.2716472,2.2050302,"Sink","global System","CO2 emissions [tonnes per capita]","Asia",2.88,"tonnes per year per capita"
"2105",6,"Tajikistan",1.66,1.5,1.1,0.68,0.33,0.09,"Sink","global System","Consumption of HCFC in ODP per capita","Asia",0.019,"0.5% compare to 2007 in CO2-eq tonnes"
"2106",7,"Tajikistan",77.81112,77.90636,78.02781,78.15538,78.25818,78.20752,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia",100,"%"
"2107",8,"Tajikistan",63.28,62.73,59.39,58.58,53.65,53.65,"Human health and welfare","human health","Concentrations of PM2.5","Asia",5,"µg/m3"
"2108",9,"Tajikistan",69.10611,70.21659,71.32798,72.43924,73.54983,73.57835,"Human health and welfare","human health","Drinking water contamination","Asia",100,"% without E.coli"
"2109",10,"Tajikistan",50,50,50,50,50,50,"Human health and welfare","landscape and amenity","status of world heritage sites","Asia",100,"% Good status"
"2110",1,"Tanzania",8.434177,83.51922,82.69668,81.87413,81.05158,80.22904,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"2111",2,"Tanzania",66.67,66.67,68.29,68.29,68.29,68.29,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"2112",3,"Tanzania",12.96,12.96,12.96,12.96,12.96,12.96,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"2113",4,"Tanzania",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"2114",5,"Tanzania",5.97,5.97,5.97,5.97,5.97,5.97,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"2115",6,"Tanzania",1.4285037,1.3865484,1.3599757,1.3477374,1.3486082,1.34337,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"2116",7,"Tanzania",1.18,1.15,1.15,1.14,1.14,1.03,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.0385,"0.5% compare to 2007 in CO2-eq tonnes"
"2117",8,"Tanzania",0,0,0,0,0,83.5,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa",100,"%"
"2118",9,"Tanzania",77.42935,77.19045,77.01132,76.89955,76.80091,76.64961,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"2119",10,"Tanzania",81.86,81.69,81.52,81.56,81.49,76.48,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"2120",11,"Tanzania",15.59,15.6,15.2,15.41,15.36,15.36,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"2121",12,"Tanzania",31.25,31.25,37.5,37.5,37.5,31.25,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa",100,"% Good status"
"2122",1,"Thailand",103.8101,103.5825,103.3962,103.2099,103.0236,102.8373,"Source","renewable ressources","state of forest reccources","Asia",100,"%"
"2123",2,"Thailand",77.845,77.845,73.09,73.09,73.09,73.09,"Source","renewable ressources","Proportion of fish stocks not overexploited","Asia",100,"% Sus fish stock"
"2124",3,"Thailand",23.01,23.01,23.01,23.01,23.01,23.01,"Source","renewable ressources","Surfacewater Stress","Asia",25,"% of stress"
"2125",4,"Thailand",23.46062,23.46062,23.46062,23.46062,23.46062,23.46062,"Source","renewable ressources","Groundwater stress","Asia",25,"%"
"2126",5,"Thailand",7.46,7.46,7.46,7.46,7.46,7.46,"Source","non-renewables ressources","area with tolerable erosion","Asia",2,"Tonnes/hectare/year"
"2127",6,"Thailand",6.3142578,6.3037429,6.2575247,6.1990622,6.3082952,6.1620479,"Sink","global System","CO2 emissions [tonnes per capita]","Asia",2.88,"tonnes per year per capita"
"2128",7,"Thailand",773.5,589.1,404.59,356.86,364.34,355.6,"Sink","global System","Consumption of HCFC in ODP per capita","Asia",4.365,"0.5% compare to 2007 in CO2-eq tonnes"
"2129",8,"Thailand",NA,NA,NA,NA,NA,36,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia",100,"%"
"2130",9,"Thailand",64.84953,64.75788,64.67111,64.58698,64.50436,64.40749,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia",100,"%"
"2131",10,"Thailand",88.42,81.76,78.5,77.56,77.39,78.1,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia",100,"%"
"2132",11,"Thailand",24.1,26.42,23.54,23.68,24.64,24.64,"Human health and welfare","human health","Concentrations of PM2.5","Asia",5,"µg/m3"
"2133",12,"Thailand",25,25,37.5,37.5,37.5,37.5,"Human health and welfare","landscape and amenity","status of world heritage sites","Asia",100,"% Good status"
"2134",1,"Timor-Leste",96.50619,96.36061,96.24623,96.06946,95.92388,95.77831,"Source","renewable ressources","state of forest reccources","Oceania",100,"%"
"2135",2,"Timor-Leste",73.08,73.08,68.63,68.63,68.63,68.63,"Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania",100,"% Sus fish stock"
"2136",3,"Timor-Leste",28.27,28.27,28.27,28.27,28.27,28.27,"Source","renewable ressources","Surfacewater Stress","Oceania",25,"% of stress"
"2137",4,"Timor-Leste",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania",25,"%"
"2138",5,"Timor-Leste",20.31,20.31,20.31,20.31,20.31,20.31,"Source","non-renewables ressources","area with tolerable erosion","Oceania",2,"Tonnes/hectare/year"
"2139",6,"Timor-Leste",3.0946265,2.5919747,2.3639793,2.3221271,2.2041386,2.0248782,"Sink","global System","CO2 emissions [tonnes per capita]","Oceania",2.88,"tonnes per year per capita"
"2140",7,"Timor-Leste",0.41,0.09,0.3,0.18,0.3,0.17,"Sink","global System","Consumption of HCFC in ODP per capita","Oceania",0.002,"0.5% compare to 2007 in CO2-eq tonnes"
"2141",8,"Timor-Leste",73.72046,73.53438,73.30075,73.05528,72.90406,72.74376,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania",100,"%"
"2142",9,"Timor-Leste",86.83,86.96,86.89,86.78,86.66,86.54,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania",100,"%"
"2143",10,"Timor-Leste",19.43,21.2,19.49,19.66,20.47,20.47,"Human health and welfare","human health","Concentrations of PM2.5","Oceania",5,"µg/m3"
"2144",1,"Togo",90.51493,90.29605,90.07717,89.85829,89.63941,89.42053,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"2145",2,"Togo",57.14,57.14,57.14,57.14,57.14,57.14,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"2146",3,"Togo",3.39,3.39,3.39,3.39,3.39,3.39,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"2147",4,"Togo",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"2148",5,"Togo",13.44,13.44,13.44,13.44,13.44,13.44,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"2149",6,"Togo",1.0774465,1.1353408,1.105479,1.1460108,1.1588935,1.1571318,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"2150",7,"Togo",16.61,15.4,14.96,14.19,14.06,10.88,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.0245,"0.5% compare to 2007 in CO2-eq tonnes"
"2151",8,"Togo",NA,NA,NA,NA,NA,100,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa",100,"%"
"2152",9,"Togo",NA,NA,NA,NA,NA,100,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa",100,"%"
"2153",10,"Togo",55.65315,55.49478,55.32818,55.16459,55.00117,54.88469,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"2154",11,"Togo",82.38,81.16,71.67,70.61,69.13,70.55,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"2155",12,"Togo",38.25,37.52,37.25,36.83,35.66,35.66,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"2156",13,"Togo",31.60785,32.21525,32.82416,33.43457,34.04646,34.24987,"Human health and welfare","human health","Drinking water contamination","Africa",100,"% without E.coli"
"2157",1,"Tokelau",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Oceania",100,"%"
"2158",2,"Tokelau",82.61,82.61,77.55,77.55,77.55,77.55,"Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania",100,"% Sus fish stock"
"2159",3,"Tokelau",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania",25,"%"
"2160",4,"Tokelau",87.48,87.3,87.12,86.94,86.76,86.58,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania",100,"%"
"2161",1,"Tonga",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"2162",2,"Tonga",84.64,84.64,82.11,82.11,82.11,82.11,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"2163",3,"Tonga",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"2164",4,"Tonga",10.4,10.4,10.4,10.4,10.4,10.4,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"2165",5,"Tonga",2.2397523,2.2838058,2.5332113,2.3488935,2.6135711,2.6181555,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"2166",6,"Tonga",0,0,0.01,0,0,0,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",5e-04,"0.5% compare to 2007 in CO2-eq tonnes"
"2167",7,"Tonga",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"2168",8,"Tonga",87.06,86.74,87.03,86.9,86.77,86.26,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"2169",9,"Tonga",7.26,7.4,7.38,7.47,7.52,7.52,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"2170",10,"Tonga",29.47526,29.47623,29.47714,29.48214,29.49097,29.5042,"Human health and welfare","human health","Drinking water contamination","Africa",100,"% without E.coli"
"2171",1,"Trinidad and Tobago",95.35068,95.17678,95.00288,94.82898,94.65508,94.48118,"Source","renewable ressources","state of forest reccources","America",100,"%"
"2172",2,"Trinidad and Tobago",60.34,60.34,61.4,61.4,61.4,61.4,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"2173",3,"Trinidad and Tobago",20.33,20.33,20.33,20.33,20.33,20.33,"Source","renewable ressources","Surfacewater Stress","America",25,"% of stress"
"2174",4,"Trinidad and Tobago",18.03279,18.03279,18.03279,18.03279,18.03279,18.03279,"Source","renewable ressources","Groundwater stress","America",25,"%"
"2175",5,"Trinidad and Tobago",1.98,1.98,1.98,1.98,1.98,1.98,"Source","non-renewables ressources","area with tolerable erosion","America",2,"Tonnes/hectare/year"
"2176",6,"Trinidad and Tobago",37.6644054,33.6317869,33.9123892,33.4443678,34.2077472,27.2404738,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"2177",7,"Trinidad and Tobago",12.64,20.8,12.22,15.65,20.85,14.5,"Sink","global System","Consumption of HCFC in ODP per capita","America",0.227,"0.5% compare to 2007 in CO2-eq tonnes"
"2178",8,"Trinidad and Tobago",NA,NA,NA,NA,NA,87.5,"Sink","critical ecosystems","Proportion of ground water in good chemical status","America",100,"%"
"2179",9,"Trinidad and Tobago",91.44982,91.6365,91.81879,92.00411,92.19708,92.25804,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"2180",10,"Trinidad and Tobago",89.52,89.18,89.04,88.91,88.76,88.6,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"2181",11,"Trinidad and Tobago",10.94,10.95,11.27,10.72,10.26,10.26,"Human health and welfare","human health","Concentrations of PM2.5","America",5,"µg/m3"
"2182",1,"Tunisia",107.5369,107.7736,108.0103,108.247,108.4837,108.7204,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"2183",2,"Tunisia",37.84,37.84,37.5,37.5,37.5,37.5,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"2184",3,"Tunisia",92.02,94.61,89.53,96,96.31,98.11,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"2185",4,"Tunisia",165.625,175,168.125,170.625,171.875,176.25,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"2186",5,"Tunisia",2.77,2.77,2.77,2.77,2.77,2.77,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"2187",6,"Tunisia",3.8328057,3.7087611,3.6749701,3.6545833,3.6103984,3.3686877,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"2188",7,"Tunisia",35.57,25.51,28.49,25.91,25.36,23.24,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.1565,"0.5% compare to 2007 in CO2-eq tonnes"
"2189",8,"Tunisia",NA,NA,NA,NA,NA,83,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa",100,"%"
"2190",9,"Tunisia",NA,NA,NA,NA,NA,86,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa",100,"%"
"2191",10,"Tunisia",69.12283,69.10217,69.08203,69.06257,69.04383,69.01145,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"2192",11,"Tunisia",68.54,67.61,67.76,68.77,68.56,68.2,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"2193",12,"Tunisia",26.13,27.58,26.13,27.22,26.52,26.52,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"2194",13,"Tunisia",78.22101,78.51297,78.76453,78.99465,79.22226,79.44709,"Human health and welfare","human health","Drinking water contamination","Africa",100,"% without E.coli"
"2195",14,"Tunisia",25,25,50,50,50,25,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa",100,"% Good status"
"2196",1,"Turkiye",109.1339,109.1339,109.7504,110.537,111.3241,112.1112,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"2197",2,"Turkiye",37.84,37.84,37.5,37.5,37.5,37.5,"Source","renewable ressources","Proportion of fish stocks not overexploited","Europe",100,"% Sus fish stock"
"2198",3,"Turkiye",39.89,44.28,43.67,45.38,45.71,45.71,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"2199",4,"Turkiye",21.53392,22.21239,22.80236,23.86431,24.51327,24.51327,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"2200",5,"Turkiye",3.01,3.01,3.01,3.01,3.01,3.01,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"2201",6,"Turkiye",6.5082346,6.7413776,7.2093578,7.1562473,7.0110603,6.9596421,"Sink","global System","CO2 emissions [tonnes per capita]","Europe",2.88,"tonnes per year per capita"
"2202",7,"Turkiye",17.95,26.95,18.33,10.57,8.54,1.82,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",4.6145,"0.5% compare to 2007 in CO2-eq tonnes"
"2203",8,"Turkiye",77.27447,77.04626,76.82384,76.58305,76.35825,76.08864,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"2204",9,"Turkiye",70.31,68.18,68.44,68.35,68.34,69.61,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe",100,"%"
"2205",10,"Turkiye",22.96,22.53,22.89,23.29,23.25,23.25,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"2206",11,"Turkiye",50,50,50,50,50,50,"Human health and welfare","landscape and amenity","status of world heritage sites","Europe",100,"% Good status"
"2207",1,"Turkmenistan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia",100,"%"
"2208",2,"Turkmenistan",144.73,144.86,148.67,138.49,142.75,135.21,"Source","renewable ressources","Surfacewater Stress","Asia",25,"% of stress"
"2209",3,"Turkmenistan",75.60976,75.60976,78.04878,70.73171,73.17073,51.21951,"Source","renewable ressources","Groundwater stress","Asia",25,"%"
"2210",4,"Turkmenistan",0.81,0.81,0.81,0.81,0.81,0.81,"Source","non-renewables ressources","area with tolerable erosion","Asia",2,"Tonnes/hectare/year"
"2211",5,"Turkmenistan",22.9180688,22.1730647,21.7452171,21.5644291,21.2943802,22.0394552,"Sink","global System","CO2 emissions [tonnes per capita]","Asia",2.88,"tonnes per year per capita"
"2212",6,"Turkmenistan",4.23,5.13,2.57,5.77,4.36,3.77,"Sink","global System","Consumption of HCFC in ODP per capita","Asia",0.0135,"0.5% compare to 2007 in CO2-eq tonnes"
"2213",7,"Turkmenistan",67.31025,67.47561,67.62215,67.75811,67.87825,67.94676,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia",100,"%"
"2214",8,"Turkmenistan",31.44,31.23,29.49,29.17,26.41,26.41,"Human health and welfare","human health","Concentrations of PM2.5","Asia",5,"µg/m3"
"2215",9,"Turkmenistan",90.87605,92.28499,93.68088,94.79053,94.81207,94.83423,"Human health and welfare","human health","Drinking water contamination","Asia",100,"% without E.coli"
"2216",1,"Turks and Caicos Islands",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","America",100,"%"
"2217",2,"Turks and Caicos Islands",60.34,60.34,61.4,61.4,61.4,61.4,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"2218",3,"Turks and Caicos Islands",12.4371907,12.3019173,6.6676693,6.8009048,6.647989,5.3828827,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"2219",4,"Turks and Caicos Islands",97.74149,97.74475,97.76145,97.77969,97.79725,97.81426,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"2220",5,"Turks and Caicos Islands",74.4,74.37,74.46,74.48,74.54,74.66,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
